username,id,name,joinDate,firstPublishedPostDate,postsCount,photosCount,videosCount,favoritedCount,favoritesCount,subscribePrice,isVerified,isPerformer,raw_json_path,status,_age_months,_likes_val,_posts_val,profile_link
laararosetv,505619688.0,Lara Rose,2025-06-14T00:00:00+00:00,2025-06-14T00:00:00+00:00,53.0,74.0,1.0,5351.0,30.0,0.0,True,True,json_data\505619688.json,ok,4.04,5351.0,,https://onlyfans.com/505619688.0
magiccrasher,463875131.0,rate the magic,2024-12-09T00:00:00+00:00,2025-01-24T00:00:00+00:00,6.0,5.0,1.0,1.0,0.0,4.99,True,True,json_data\463875131.json,ok,10.19,1.0,,https://onlyfans.com/463875131.0
oftvkimtha,495925850.0,Kim  Tha,2025-04-30T00:00:00+00:00,2025-04-30T00:00:00+00:00,218.0,98.0,124.0,2633.0,3.0,0.0,True,True,json_data\495925850.json,ok,5.52,2633.0,,https://onlyfans.com/495925850.0
sierraskye2,464573086.0,Sierra Skye,2024-12-12T00:00:00+00:00,2024-12-23T00:00:00+00:00,42.0,78.0,0.0,5166.0,0.0,0.0,True,True,json_data\464573086.json,ok,10.09,5166.0,,https://onlyfans.com/464573086.0
amberoftv,461113377.0,Amber,2024-11-30T00:00:00+00:00,2024-12-04T00:00:00+00:00,9.0,9.0,0.0,4477.0,0.0,0.0,True,True,json_data\461113377.json,ok,10.48,4477.0,,https://onlyfans.com/461113377.0
talulahmaetv,452949358.0,Talulah Mae TV,2024-10-24T00:00:00+00:00,2024-10-24T00:00:00+00:00,301.0,248.0,49.0,5309.0,632.0,0.0,True,True,json_data\452949358.json,ok,11.7,5309.0,,https://onlyfans.com/452949358.0
ericaspera,463840713.0,Erica Spera,2024-12-09T00:00:00+00:00,2025-01-27T00:00:00+00:00,82.0,16.0,6.0,225.0,0.0,0.0,True,True,json_data\463840713.json,ok,10.19,225.0,,https://onlyfans.com/463840713.0
